dataset,model,max_length,lr,train_size,val_f1,test_acc,test_precision,test_recall,test_f1,run_dir
uk,bert-base-multilingual-cased,256,2e-05,full,0.916,0.9396,0.939,0.9375,0.9382,results/uk__bert-base-multilingual-cased__ml256__lr2e-05__tsfull
uk,xlm-roberta-base,256,2e-05,full,0.9329,0.9121,0.909,0.9135,0.9108,results/uk__xlm-roberta-base__ml256__lr2e-05__tsfull
uk,microsoft/mdeberta-v3-base,256,2e-05,full,0.9162,0.9231,0.9215,0.9215,0.9215,results/uk__mdeberta-v3-base__ml256__lr2e-05__tsfull
en,bert-base-multilingual-cased,256,2e-05,full,0.9708,0.982,0.9845,0.9795,0.9817,results/en__bert-base-multilingual-cased__ml256__lr2e-05__tsfull
en,xlm-roberta-base,256,2e-05,full,0.9781,0.9748,0.9741,0.9749,0.9745,results/en__xlm-roberta-base__ml256__lr2e-05__tsfull
en,microsoft/mdeberta-v3-base,256,2e-05,full,0.9636,0.9676,0.9668,0.9676,0.9672,results/en__mdeberta-v3-base__ml256__lr2e-05__tsfull
en,xlm-roberta-large,256,2e-05,full,0.9745,0.982,0.9822,0.9813,0.9817,results/en__xlm-roberta-large__ml256__lr2e-05__tsfull
both,bert-base-multilingual-cased,256,2e-05,full,0.9493,0.9587,0.9594,0.9565,0.9579,results/both__bert-base-multilingual-cased__ml256__lr2e-05__tsfull
both,xlm-roberta-base,256,2e-05,full,0.9492,0.9565,0.9558,0.9558,0.9558,results/both__xlm-roberta-base__ml256__lr2e-05__tsfull
both,microsoft/mdeberta-v3-base,256,2e-05,full,0.9384,0.9587,0.9573,0.9588,0.9581,results/both__mdeberta-v3-base__ml256__lr2e-05__tsfull
both,xlm-roberta-large,256,2e-05,full,0.936,0.9326,0.9312,0.9317,0.9315,results/both__xlm-roberta-large__ml256__lr2e-05__tsfull
uk,xlm-roberta-large,256,2e-05,full,0.8856,0.8846,0.8814,0.8846,0.8827,results/uk__xlm-roberta-large__ml256__lr2e-05__tsfull
uk,youscan/ukr-roberta-base,256,2e-05,full,0.9169,0.9121,0.9094,0.9167,0.9112,results/uk__ukr-roberta-base__ml256__lr2e-05__tsfull
uk,bert-base-multilingual-cased,256,2e-05,100,0.8327,0.8626,0.8591,0.8622,0.8604,results/uk__bert-base-multilingual-cased__ml256__lr2e-05__ts100
uk,bert-base-multilingual-cased,256,2e-05,200,0.8595,0.8956,0.8925,0.8958,0.8939,results/uk__bert-base-multilingual-cased__ml256__lr2e-05__ts200
uk,bert-base-multilingual-cased,256,2e-05,300,0.8933,0.9176,0.9165,0.9151,0.9157,results/uk__bert-base-multilingual-cased__ml256__lr2e-05__ts300
uk,xlm-roberta-base,256,2e-05,100,0.7781,0.7857,0.8353,0.7548,0.7606,results/uk__xlm-roberta-base__ml256__lr2e-05__ts100
uk,xlm-roberta-base,256,2e-05,200,0.8429,0.8736,0.8761,0.8654,0.8693,results/uk__xlm-roberta-base__ml256__lr2e-05__ts200
uk,xlm-roberta-base,256,2e-05,300,0.7614,0.8132,0.8134,0.8029,0.8064,results/uk__xlm-roberta-base__ml256__lr2e-05__ts300
uk,microsoft/mdeberta-v3-base,256,2e-05,100,0.8027,0.8462,0.8563,0.8317,0.8383,results/uk__mdeberta-v3-base__ml256__lr2e-05__ts100
uk,microsoft/mdeberta-v3-base,256,2e-05,200,0.8057,0.8516,0.8726,0.8333,0.842,results/uk__mdeberta-v3-base__ml256__lr2e-05__ts200
uk,microsoft/mdeberta-v3-base,256,2e-05,300,0.8916,0.9066,0.9135,0.8974,0.903,results/uk__mdeberta-v3-base__ml256__lr2e-05__ts300
uk,xlm-roberta-large,256,2e-05,100,0.6866,0.6484,0.6527,0.6554,0.6477,results/uk__xlm-roberta-large__ml256__lr2e-05__ts100
en,bert-base-multilingual-cased,256,2e-05,100,0.891,0.8921,0.8904,0.8904,0.8904,results/en__bert-base-multilingual-cased__ml256__lr2e-05__ts100
en,bert-base-multilingual-cased,256,2e-05,200,0.9308,0.9065,0.9087,0.9015,0.9043,results/en__bert-base-multilingual-cased__ml256__lr2e-05__ts200
en,bert-base-multilingual-cased,256,2e-05,300,0.949,0.9532,0.9538,0.9512,0.9524,results/en__bert-base-multilingual-cased__ml256__lr2e-05__ts300
en,xlm-roberta-base,256,2e-05,100,0.7857,0.7734,0.8112,0.7489,0.7524,results/en__xlm-roberta-base__ml256__lr2e-05__ts100
en,xlm-roberta-base,256,2e-05,200,0.7786,0.759,0.7561,0.7522,0.7536,results/en__xlm-roberta-base__ml256__lr2e-05__ts200
en,xlm-roberta-base,256,2e-05,300,0.9058,0.9065,0.9042,0.9077,0.9055,results/en__xlm-roberta-base__ml256__lr2e-05__ts300
en,microsoft/mdeberta-v3-base,256,2e-05,100,0.8197,0.8381,0.8357,0.8397,0.8368,results/en__mdeberta-v3-base__ml256__lr2e-05__ts100
uk,xlm-roberta-large,256,2e-05,200,0.7362,0.6429,0.6971,0.6731,0.638,results/uk__xlm-roberta-large__ml256__lr2e-05__ts200
uk,xlm-roberta-large,256,2e-05,300,0.8499,0.8846,0.8876,0.8766,0.8807,results/uk__xlm-roberta-large__ml256__lr2e-05__ts300
en,microsoft/mdeberta-v3-base,256,2e-05,200,0.9272,0.9137,0.9114,0.915,0.9128,results/en__mdeberta-v3-base__ml256__lr2e-05__ts200
en,microsoft/mdeberta-v3-base,256,2e-05,300,0.9419,0.9532,0.9517,0.9539,0.9526,results/en__mdeberta-v3-base__ml256__lr2e-05__ts300
en,xlm-roberta-large,256,2e-05,100,0.8412,0.8993,0.8969,0.9004,0.8982,results/en__xlm-roberta-large__ml256__lr2e-05__ts100
en,xlm-roberta-large,256,2e-05,200,0.9095,0.9137,0.9139,0.9106,0.912,results/en__xlm-roberta-large__ml256__lr2e-05__ts200
en,xlm-roberta-large,256,2e-05,300,0.924,0.9388,0.9368,0.9419,0.9384,results/en__xlm-roberta-large__ml256__lr2e-05__ts300
both,bert-base-multilingual-cased,256,2e-05,100,0.8399,0.8391,0.8362,0.8404,0.8375,results/both__bert-base-multilingual-cased__ml256__lr2e-05__ts100
both,bert-base-multilingual-cased,256,2e-05,200,0.9018,0.8848,0.8905,0.8762,0.8809,results/both__bert-base-multilingual-cased__ml256__lr2e-05__ts200
both,bert-base-multilingual-cased,256,2e-05,300,0.9113,0.9152,0.9176,0.91,0.913,results/both__bert-base-multilingual-cased__ml256__lr2e-05__ts300
both,xlm-roberta-base,256,2e-05,100,0.6662,0.613,0.6579,0.6392,0.6076,results/both__xlm-roberta-base__ml256__lr2e-05__ts100
both,xlm-roberta-base,256,2e-05,200,0.8312,0.8348,0.8373,0.8256,0.8294,results/both__xlm-roberta-base__ml256__lr2e-05__ts200
both,xlm-roberta-base,256,2e-05,300,0.8861,0.8957,0.8938,0.8938,0.8938,results/both__xlm-roberta-base__ml256__lr2e-05__ts300
both,microsoft/mdeberta-v3-base,256,2e-05,100,0.6779,0.6696,0.7187,0.6956,0.6656,results/both__mdeberta-v3-base__ml256__lr2e-05__ts100
both,microsoft/mdeberta-v3-base,256,2e-05,200,0.9095,0.9196,0.918,0.9185,0.9182,results/both__mdeberta-v3-base__ml256__lr2e-05__ts200
both,microsoft/mdeberta-v3-base,256,2e-05,300,0.9311,0.9174,0.9169,0.9148,0.9158,results/both__mdeberta-v3-base__ml256__lr2e-05__ts300
both,xlm-roberta-large,256,2e-05,100,0.7543,0.7478,0.7446,0.7388,0.7407,results/both__xlm-roberta-large__ml256__lr2e-05__ts100
both,xlm-roberta-large,256,2e-05,200,0.783,0.8043,0.8124,0.79,0.795,results/both__xlm-roberta-large__ml256__lr2e-05__ts200
both,xlm-roberta-large,256,2e-05,300,0.9041,0.9109,0.9092,0.9096,0.9094,results/both__xlm-roberta-large__ml256__lr2e-05__ts300
uk,bert-base-multilingual-cased,128,1e-05,full,0.8885,0.9121,0.9094,0.9167,0.9112,results/uk__bert-base-multilingual-cased__ml128__lr1e-05__tsfull
uk,bert-base-multilingual-cased,128,2e-05,full,0.9209,0.8956,0.8939,0.8926,0.8933,results/uk__bert-base-multilingual-cased__ml128__lr2e-05__tsfull
uk,bert-base-multilingual-cased,256,1e-05,full,0.9042,0.9396,0.939,0.9375,0.9382,results/uk__bert-base-multilingual-cased__ml256__lr1e-05__tsfull
uk,bert-base-multilingual-cased,512,1e-05,full,0.8987,0.9341,0.9317,0.9343,0.9329,results/uk__bert-base-multilingual-cased__ml512__lr1e-05__tsfull
uk,bert-base-multilingual-cased,512,2e-05,full,0.9103,0.9396,0.9378,0.9391,0.9384,results/uk__bert-base-multilingual-cased__ml512__lr2e-05__tsfull
uk,xlm-roberta-base,128,1e-05,full,0.8916,0.9066,0.9084,0.9006,0.9038,results/uk__xlm-roberta-base__ml128__lr1e-05__tsfull
uk,xlm-roberta-base,128,2e-05,full,0.8766,0.8846,0.8814,0.8846,0.8827,results/uk__xlm-roberta-base__ml128__lr2e-05__tsfull
uk,xlm-roberta-base,256,1e-05,full,0.9089,0.9066,0.9066,0.9022,0.9042,results/uk__xlm-roberta-base__ml256__lr1e-05__tsfull
uk,xlm-roberta-base,512,1e-05,full,0.9034,0.9121,0.9153,0.9054,0.9093,results/uk__xlm-roberta-base__ml512__lr1e-05__tsfull
uk,xlm-roberta-base,512,2e-05,full,0.9105,0.9286,0.9266,0.9279,0.9272,results/uk__xlm-roberta-base__ml512__lr2e-05__tsfull
uk,microsoft/mdeberta-v3-base,128,1e-05,full,0.9096,0.8956,0.893,0.8942,0.8936,results/uk__mdeberta-v3-base__ml128__lr1e-05__tsfull
uk,microsoft/mdeberta-v3-base,128,2e-05,full,0.8987,0.9231,0.9215,0.9215,0.9215,results/uk__mdeberta-v3-base__ml128__lr2e-05__tsfull
uk,microsoft/mdeberta-v3-base,256,1e-05,full,0.9162,0.9121,0.909,0.9135,0.9108,results/uk__mdeberta-v3-base__ml256__lr1e-05__tsfull
uk,microsoft/mdeberta-v3-base,512,1e-05,full,0.9038,0.9066,0.9107,0.899,0.9034,results/uk__mdeberta-v3-base__ml512__lr1e-05__tsfull
uk,microsoft/mdeberta-v3-base,512,2e-05,full,0.916,0.8956,0.8953,0.891,0.8929,results/uk__mdeberta-v3-base__ml512__lr2e-05__tsfull
uk,xlm-roberta-large,128,1e-05,full,0.8614,0.8956,0.9049,0.8846,0.8911,results/uk__xlm-roberta-large__ml128__lr1e-05__tsfull
uk,xlm-roberta-large,128,2e-05,full,0.887,0.9341,0.9341,0.9311,0.9325,results/uk__xlm-roberta-large__ml128__lr2e-05__tsfull
uk,xlm-roberta-large,256,1e-05,full,0.8827,0.9231,0.9201,0.9247,0.9219,results/uk__xlm-roberta-large__ml256__lr1e-05__tsfull
uk,xlm-roberta-large,512,1e-05,full,0.882,0.9066,0.9036,0.9071,0.9051,results/uk__xlm-roberta-large__ml512__lr1e-05__tsfull
uk,xlm-roberta-large,512,2e-05,full,0.899,0.9451,0.9429,0.9455,0.9441,results/uk__xlm-roberta-large__ml512__lr2e-05__tsfull
en,bert-base-multilingual-cased,128,1e-05,full,0.9672,0.9748,0.9759,0.9731,0.9744,results/en__bert-base-multilingual-cased__ml128__lr1e-05__tsfull
en,bert-base-multilingual-cased,128,2e-05,full,0.9745,0.9892,0.9906,0.9877,0.989,results/en__bert-base-multilingual-cased__ml128__lr2e-05__tsfull
en,bert-base-multilingual-cased,256,1e-05,full,0.9599,0.9712,0.9741,0.9681,0.9706,results/en__bert-base-multilingual-cased__ml256__lr1e-05__tsfull
en,bert-base-multilingual-cased,512,1e-05,full,0.9708,0.9676,0.9668,0.9676,0.9672,results/en__bert-base-multilingual-cased__ml512__lr1e-05__tsfull
en,bert-base-multilingual-cased,512,2e-05,full,0.9636,0.9784,0.9781,0.9781,0.9781,results/en__bert-base-multilingual-cased__ml512__lr2e-05__tsfull
en,xlm-roberta-base,128,1e-05,full,0.9601,0.964,0.9624,0.9653,0.9636,results/en__xlm-roberta-base__ml128__lr1e-05__tsfull
en,xlm-roberta-base,128,2e-05,full,0.9672,0.964,0.9654,0.9617,0.9633,results/en__xlm-roberta-base__ml128__lr2e-05__tsfull
en,xlm-roberta-base,256,1e-05,full,0.96,0.964,0.9643,0.9626,0.9634,results/en__xlm-roberta-base__ml256__lr1e-05__tsfull
en,xlm-roberta-base,512,1e-05,full,0.9565,0.9604,0.9589,0.9612,0.9599,results/en__xlm-roberta-base__ml512__lr1e-05__tsfull
en,xlm-roberta-base,512,2e-05,full,0.9708,0.9748,0.9749,0.974,0.9744,results/en__xlm-roberta-base__ml512__lr2e-05__tsfull
en,microsoft/mdeberta-v3-base,128,1e-05,full,0.96,0.964,0.9624,0.9653,0.9636,results/en__mdeberta-v3-base__ml128__lr1e-05__tsfull
en,microsoft/mdeberta-v3-base,128,2e-05,full,0.9708,0.9748,0.9741,0.9749,0.9745,results/en__mdeberta-v3-base__ml128__lr2e-05__tsfull
en,microsoft/mdeberta-v3-base,256,1e-05,full,0.9598,0.964,0.9635,0.9635,0.9635,results/en__mdeberta-v3-base__ml256__lr1e-05__tsfull
en,microsoft/mdeberta-v3-base,512,1e-05,full,0.9528,0.964,0.9621,0.9662,0.9637,results/en__mdeberta-v3-base__ml512__lr1e-05__tsfull
