idx,text,label,source
cs_se_110,Determining capabilities of a min-heap (or other exotic) state machines,0,cs_se
cs_se_249,"(When) is hash table lookup O(1)? It is often said that hash table lookup operates in constant time: you compute the hash value, which gives you an index for an array lookup. Yet this ignores collisions; in the worst case, every item happens to land in the same bucket and the lookup time becomes linear ($\Theta(n)$).",0,cs_se
swe_se_268124,Does using == in JavaScript ever make sense?,1,swe_se
wc_en_5ed72eb9,"this is my html

 
 
 
 
 
 
 
 Scoreboard 
 
 
 
 
 Points: 
 0 
 
 
 
 
 


css
body {
margin: 0;
background-color: #111;
}

.scoreboard {
position: fixed;
top: 0;
right: 0;
background-color: rgba(0, 0, 0, 0.5);
padding: 5px 15px;
margin: 10px;
border-radius: 5px;
display: inline-flex;
align-items: center;
}

.label {
color: #ffffff;
font-family: Arial, sans-serif;
font-size: 14px;
}

.score {
color: #247c24;
font-family: Arial, sans-serif;
font-size: 14px;
font-weight: bold;
margin-left: 5px;
}

I’m trying to center the scoreboard class horizontally but not vertically currently it only sits on the right",0,wildchat_en
mbpp_305,Write a function to match two words from a list of words starting with letter 'p'.,0,mbpp
so_code_104420,"How do I generate all permutations of a list?

```
permutations([])
[]
permutations([1])
[1]
permutations([1, 2])
[1, 2]
[2, 1]
permutations([1, 2, 3])
```",0,stackoverflow
ds_se_24452,"In supervised learning, why is it bad to have correlated features?",0,ds_se
so_code_14415881,"How can I pair socks from a pile efficiently?

```
n
```",0,stackoverflow
cs_se_1626,Efficient data structures for building a fast spell checker,0,cs_se
cs_se_2016,How to convert finite automata to regular expressions?,0,cs_se
so_code_18082,"Validate decimal numbers in JavaScript - IsNumeric()

```
01. IsNumeric('-1')      => true
02. IsNumeric('-1.5')    => true
03. IsNumeric('0')       => true
04. IsNumeric('0.42')    => true
05. IsNumeric('.42')     => true
06. IsNumeric('99,999')  => false
07. IsNumeric('0x89f')   => false
08. IsNumeric('#abcdef') => false
```",0,stackoverflow
syn_0033,How to measure execution time of a function in Python?,0,synthetic
mbpp_336,Write a function to check whether the given month name contains 28 days or not.,0,mbpp
so_7478366,Create dynamic URLs in Flask with url_for(),0,stackoverflow
swe_se_151733,"If immutable objects are good, why do people keep creating mutable objects?",0,swe_se
so_code_18093928,"What does ""Could not find or load main class"" mean?

```
Could not find or load main class ...
```",1,stackoverflow
